Matricula;Item remuneratorio;Descricao;Qte Referencia;Vr Provento;Vr Desconto
11410;3;PROVENTO                 ;               ;   2484.35;      0.00                                                                                                                   
11410;15;DIF PROVENTO             ;               ;    522.83;      0.00                                                                                                                   
11410;25;ADIC TEMPO SERV          ;               ;    546.55;      0.00                                                                                                                   
11410;60;GRAT REG CLASSE          ;               ;    372.65;      0.00                                                                                                                   
11410;907;IRRF                     ;22.5%          ;      0.00;    240.04                                                                                                                   
11413;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11413;25;ADIC TEMPO SERV          ;               ;    142.50;      0.00                                                                                                                   
11413;655;DESC EMP CEF I           ;               ;      0.00;    223.12                                                                                                                   
11413;661;DESC EMP PANAME          ;               ;      0.00;     84.79                                                                                                                   
11415;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11415;25;ADIC TEMPO SERV          ;               ;     97.50;      0.00                                                                                                                   
11415;655;DESC EMP CEF I           ;               ;      0.00;    217.20                                                                                                                   
11416;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11416;25;ADIC TEMPO SERV          ;               ;    137.75;      0.00                                                                                                                   
11416;661;DESC EMP PANAME          ;               ;      0.00;    242.76                                                                                                                   
11418;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11418;25;ADIC TEMPO SERV          ;               ;    152.25;      0.00                                                                                                                   
11418;60;GRAT REG CLASSE          ;               ;    145.00;      0.00                                                                                                                   
11418;655;DESC EMP CEF I           ;               ;      0.00;    260.96                                                                                                                   
11418;661;DESC EMP PANAME          ;               ;      0.00;     73.12                                                                                                                   
11421;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11421;25;ADIC TEMPO SERV          ;               ;    142.50;      0.00                                                                                                                   
11426;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
11426;25;ADIC TEMPO SERV          ;               ;    275.50;      0.00                                                                                                                   
11426;111;GRAT RISCO DE V          ;               ;    190.00;      0.00                                                                                                                   
11427;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11427;25;ADIC TEMPO SERV          ;               ;    181.25;      0.00                                                                                                                   
11434;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
11434;25;ADIC TEMPO SERV          ;               ;    180.50;      0.00                                                                                                                   
11434;111;GRAT RISCO DE V          ;               ;    190.00;      0.00                                                                                                                   
11436;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
11436;25;ADIC TEMPO SERV          ;               ;    123.50;      0.00                                                                                                                   
11436;655;DESC EMP CEF I           ;               ;      0.00;    210.98                                                                                                                   
11439;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
11439;25;ADIC TEMPO SERV          ;               ;    218.50;      0.00                                                                                                                   
11441;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11441;25;ADIC TEMPO SERV          ;               ;    202.50;      0.00                                                                                                                   
11441;655;DESC EMP CEF I           ;               ;      0.00;    236.01                                                                                                                   
11441;661;DESC EMP PANAME          ;               ;      0.00;     56.25                                                                                                                   
11447;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11447;655;DESC EMP CEF I           ;               ;      0.00;    176.59                                                                                                                   
11447;661;DESC EMP PANAME          ;               ;      0.00;     51.41                                                                                                                   
11448;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
11448;25;ADIC TEMPO SERV          ;               ;    180.50;      0.00                                                                                                                   
11448;111;GRAT RISCO DE V          ;               ;    190.00;      0.00                                                                                                                   
11448;655;DESC EMP CEF I           ;               ;      0.00;    174.61                                                                                                                   
11450;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11450;25;ADIC TEMPO SERV          ;               ;    202.50;      0.00                                                                                                                   
11450;655;DESC EMP CEF I           ;               ;      0.00;    235.98                                                                                                                   
11451;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11451;25;ADIC TEMPO SERV          ;               ;    180.00;      0.00                                                                                                                   
11451;655;DESC EMP CEF I           ;               ;      0.00;    206.04                                                                                                                   
11453;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11453;25;ADIC TEMPO SERV          ;               ;    159.50;      0.00                                                                                                                   
11457;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
11457;25;ADIC TEMPO SERV          ;               ;    218.50;      0.00                                                                                                                   
11457;111;GRAT RISCO DE V          ;               ;    190.00;      0.00                                                                                                                   
11458;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11458;25;ADIC TEMPO SERV          ;               ;     97.50;      0.00                                                                                                                   
11458;655;DESC EMP CEF I           ;               ;      0.00;    165.95                                                                                                                   
11461;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
11461;25;ADIC TEMPO SERV          ;               ;    171.00;      0.00                                                                                                                   
11465;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11465;25;ADIC TEMPO SERV          ;               ;     97.50;      0.00                                                                                                                   
11465;110;GRAT INSALUBRID          ;               ;    150.00;      0.00                                                                                                                   
11465;655;DESC EMP CEF I           ;               ;      0.00;    210.28                                                                                                                   
11476;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
11476;25;ADIC TEMPO SERV          ;               ;    190.00;      0.00                                                                                                                   
11476;655;DESC EMP CEF I           ;               ;      0.00;    141.63                                                                                                                   
11476;656;DESC EMP CEF II          ;               ;      0.00;     83.13                                                                                                                   
11480;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11480;25;ADIC TEMPO SERV          ;               ;    210.25;      0.00                                                                                                                   
11481;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11481;25;ADIC TEMPO SERV          ;               ;    217.50;      0.00                                                                                                                   
11481;655;DESC EMP CEF I           ;               ;      0.00;    240.08                                                                                                                   
11486;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
11486;25;ADIC TEMPO SERV          ;               ;    171.00;      0.00                                                                                                                   
11487;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11487;25;ADIC TEMPO SERV          ;               ;    174.00;      0.00                                                                                                                   
11512;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11512;25;ADIC TEMPO SERV          ;               ;    232.50;      0.00                                                                                                                   
11512;655;DESC EMP CEF I           ;               ;      0.00;    173.32                                                                                                                   
11513;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11513;25;ADIC TEMPO SERV          ;               ;    187.50;      0.00                                                                                                                   
11513;655;DESC EMP CEF I           ;               ;      0.00;    178.70                                                                                                                   
11519;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11519;25;ADIC TEMPO SERV          ;               ;    116.00;      0.00                                                                                                                   
11521;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11521;25;ADIC TEMPO SERV          ;               ;    181.25;      0.00                                                                                                                   
11522;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11522;25;ADIC TEMPO SERV          ;               ;    120.00;      0.00                                                                                                                   
11522;655;DESC EMP CEF I           ;               ;      0.00;    215.71                                                                                                                   
11522;661;DESC EMP PANAME          ;               ;      0.00;     27.94                                                                                                                   
11538;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11538;25;ADIC TEMPO SERV          ;               ;    135.00;      0.00                                                                                                                   
11538;655;DESC EMP CEF I           ;               ;      0.00;    211.33                                                                                                                   
11538;661;DESC EMP PANAME          ;               ;      0.00;     29.40                                                                                                                   
11558;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11558;25;ADIC TEMPO SERV          ;               ;    253.75;      0.00                                                                                                                   
11558;60;GRAT REG CLASSE          ;               ;    145.00;      0.00                                                                                                                   
11560;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11560;25;ADIC TEMPO SERV          ;               ;    137.75;      0.00                                                                                                                   
11560;655;DESC EMP CEF I           ;               ;      0.00;    239.75                                                                                                                   
11566;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
11566;25;ADIC TEMPO SERV          ;               ;    594.07;      0.00                                                                                                                   
11566;80;ADIC NIV FORM T          ;               ;    607.52;      0.00                                                                                                                   
11566;655;DESC EMP CEF I           ;               ;      0.00;    735.76                                                                                                                   
11568;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11568;25;ADIC TEMPO SERV          ;               ;    253.75;      0.00                                                                                                                   
11568;60;GRAT REG CLASSE          ;               ;    145.00;      0.00                                                                                                                   
11568;655;DESC EMP CEF I           ;               ;      0.00;    114.53                                                                                                                   
11568;656;DESC EMP CEF II          ;               ;      0.00;    154.27                                                                                                                   
11572;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
11572;655;DESC EMP CEF I           ;               ;      0.00;    235.85                                                                                                                   
11572;656;DESC EMP CEF II          ;               ;      0.00;     40.06                                                                                                                   
11572;666;DESC EMP BIC II          ;               ;      0.00;     55.45                                                                                                                   
11580;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11580;25;ADIC TEMPO SERV          ;               ;    180.00;      0.00                                                                                                                   
11580;655;DESC EMP CEF I           ;               ;      0.00;    175.33                                                                                                                   
11580;656;DESC EMP CEF II          ;               ;      0.00;     56.87                                                                                                                   
11580;661;DESC EMP PANAME          ;               ;      0.00;     19.00                                                                                                                   
11580;666;DESC EMP BIC II          ;               ;      0.00;     72.00                                                                                                                   
11585;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11585;25;ADIC TEMPO SERV          ;               ;    253.75;      0.00                                                                                                                   
11589;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11589;25;ADIC TEMPO SERV          ;               ;    180.00;      0.00                                                                                                                   
11591;3;PROVENTO                 ;               ;   2749.17;      0.00                                                                                                                   
11591;25;ADIC TEMPO SERV          ;               ;    549.83;      0.00                                                                                                                   
11591;114;GRAT DE TITULAC          ;               ;   1099.66;      0.00                                                                                                                   
11591;655;DESC EMP CEF I           ;               ;      0.00;    357.90                                                                                                                   
11591;656;DESC EMP CEF II          ;               ;      0.00;    673.59                                                                                                                   
11591;907;IRRF                     ;22.5%          ;      0.00;    386.74                                                                                                                   
11593;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11593;25;ADIC TEMPO SERV          ;               ;     94.25;      0.00                                                                                                                   
11596;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
11599;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11599;25;ADIC TEMPO SERV          ;               ;    157.50;      0.00                                                                                                                   
11601;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11601;25;ADIC TEMPO SERV          ;               ;    232.00;      0.00                                                                                                                   
11601;655;DESC EMP CEF I           ;               ;      0.00;    184.82                                                                                                                   
11602;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11602;25;ADIC TEMPO SERV          ;               ;    172.50;      0.00                                                                                                                   
11602;655;DESC EMP CEF I           ;               ;      0.00;    229.44                                                                                                                   
11607;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11607;25;ADIC TEMPO SERV          ;               ;    166.75;      0.00                                                                                                                   
11607;655;DESC EMP CEF I           ;               ;      0.00;    146.79                                                                                                                   
11608;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11608;25;ADIC TEMPO SERV          ;               ;    165.00;      0.00                                                                                                                   
11610;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11610;25;ADIC TEMPO SERV          ;               ;    157.50;      0.00                                                                                                                   
11610;655;DESC EMP CEF I           ;               ;      0.00;    117.10                                                                                                                   
11615;3;PROVENTO                 ;               ;    848.68;      0.00                                                                                                                   
11615;25;ADIC TEMPO SERV          ;               ;    263.09;      0.00                                                                                                                   
11615;80;ADIC NIV FORM T          ;               ;    303.76;      0.00                                                                                                                   
11615;655;DESC EMP CEF I           ;               ;      0.00;    130.71                                                                                                                   
11618;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11618;25;ADIC TEMPO SERV          ;               ;    195.75;      0.00                                                                                                                   
11618;60;GRAT REG CLASSE          ;               ;    145.00;      0.00                                                                                                                   
11618;415;1/3 SAL APOSENT          ;               ;    241.66;      0.00                                                                                                                   
11618;655;DESC EMP CEF I           ;               ;      0.00;    263.33                                                                                                                   
11619;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
11619;25;ADIC TEMPO SERV          ;               ;    526.18;      0.00                                                                                                                   
11619;80;ADIC NIV FORM T          ;               ;    531.58;      0.00                                                                                                                   
11619;101;GRAT EST TRAB S          ;               ;     62.70;      0.00                                                                                                                   
11619;907;IRRF                     ;15.0%          ;      0.00;     87.64                                                                                                                   
11620;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11620;25;ADIC TEMPO SERV          ;               ;    127.50;      0.00                                                                                                                   
11620;655;DESC EMP CEF I           ;               ;      0.00;    180.76                                                                                                                   
11620;661;DESC EMP PANAME          ;               ;      0.00;     66.00                                                                                                                   
11622;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11622;655;DESC EMP CEF I           ;               ;      0.00;    228.66                                                                                                                   
11622;661;DESC EMP PANAME          ;               ;      0.00;     54.08                                                                                                                   
11624;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11624;25;ADIC TEMPO SERV          ;               ;    203.00;      0.00                                                                                                                   
11626;3;PROVENTO                 ;               ;    974.62;      0.00                                                                                                                   
11626;15;DIF PROVENTO             ;               ;    208.06;      0.00                                                                                                                   
11626;25;ADIC TEMPO SERV          ;               ;    233.90;      0.00                                                                                                                   
11626;60;GRAT REG CLASSE          ;               ;    146.19;      0.00                                                                                                                   
11626;655;DESC EMP CEF I           ;               ;      0.00;    269.40                                                                                                                   
11627;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11627;25;ADIC TEMPO SERV          ;               ;    150.00;      0.00                                                                                                                   
11627;655;DESC EMP CEF I           ;               ;      0.00;    185.23                                                                                                                   
11628;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11628;25;ADIC TEMPO SERV          ;               ;    165.00;      0.00                                                                                                                   
11628;655;DESC EMP CEF I           ;               ;      0.00;    171.11                                                                                                                   
11628;656;DESC EMP CEF II          ;               ;      0.00;     55.55                                                                                                                   
11629;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
11629;25;ADIC TEMPO SERV          ;               ;    509.21;      0.00                                                                                                                   
11629;80;ADIC NIV FORM T          ;               ;    227.82;      0.00                                                                                                                   
11629;101;GRAT EST TRAB S          ;               ;    142.12;      0.00                                                                                                                   
11629;655;DESC EMP CEF I           ;               ;      0.00;    492.36                                                                                                                   
11629;656;DESC EMP CEF II          ;               ;      0.00;    125.67                                                                                                                   
11629;907;IRRF                     ;7.50%          ;      0.00;     59.16                                                                                                                   
11631;3;PROVENTO                 ;               ;    848.68;      0.00                                                                                                                   
11631;25;ADIC TEMPO SERV          ;               ;    246.11;      0.00                                                                                                                   
11631;80;ADIC NIV FORM T          ;               ;    113.91;      0.00                                                                                                                   
11631;101;GRAT EST TRAB S          ;               ;     91.96;      0.00                                                                                                                   
11634;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11634;25;ADIC TEMPO SERV          ;               ;    187.50;      0.00                                                                                                                   
11634;655;DESC EMP CEF I           ;               ;      0.00;    220.32                                                                                                                   
11635;3;PROVENTO                 ;               ;   2534.03;      0.00                                                                                                                   
11635;15;DIF PROVENTO             ;               ;    556.64;      0.00                                                                                                                   
11635;25;ADIC TEMPO SERV          ;               ;    709.52;      0.00                                                                                                                   
11635;60;GRAT REG CLASSE          ;               ;    380.10;      0.00                                                                                                                   
11635;655;DESC EMP CEF I           ;               ;      0.00;    302.23                                                                                                                   
11635;907;IRRF                     ;22.5%          ;      0.00;    297.17                                                                                                                   
11636;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11636;25;ADIC TEMPO SERV          ;               ;    181.25;      0.00                                                                                                                   
11636;60;GRAT REG CLASSE          ;               ;    145.00;      0.00                                                                                                                   
11636;415;1/3 SAL APOSENT          ;               ;    241.66;      0.00                                                                                                                   
11636;643;DESC EMP BB III          ;               ;      0.00;     75.44                                                                                                                   
11637;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11637;25;ADIC TEMPO SERV          ;               ;    174.00;      0.00                                                                                                                   
11637;60;GRAT REG CLASSE          ;               ;    145.00;      0.00                                                                                                                   
11637;655;DESC EMP CEF I           ;               ;      0.00;    268.32                                                                                                                   
11637;661;DESC EMP PANAME          ;               ;      0.00;     74.35                                                                                                                   
11637;666;DESC EMP BIC II          ;               ;      0.00;     22.27                                                                                                                   
11639;3;PROVENTO                 ;               ;   2534.03;      0.00                                                                                                                   
11639;15;DIF PROVENTO             ;               ;    541.08;      0.00                                                                                                                   
11639;25;ADIC TEMPO SERV          ;               ;    608.16;      0.00                                                                                                                   
11639;60;GRAT REG CLASSE          ;               ;    380.10;      0.00                                                                                                                   
11639;655;DESC EMP CEF I           ;               ;      0.00;    603.73                                                                                                                   
11639;656;DESC EMP CEF II          ;               ;      0.00;    106.07                                                                                                                   
11639;661;DESC EMP PANAME          ;               ;      0.00;    200.00                                                                                                                   
11639;665;DESC EMP BIC I           ;               ;      0.00;    160.30                                                                                                                   
11639;666;DESC EMP BIC II          ;               ;      0.00;    180.83                                                                                                                   
11639;907;IRRF                     ;22.5%          ;      0.00;    311.30                                                                                                                   
11643;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
11643;25;ADIC TEMPO SERV          ;               ;    157.50;      0.00                                                                                                                   
11646;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
11646;25;ADIC TEMPO SERV          ;               ;    174.00;      0.00                                                                                                                   
11646;655;DESC EMP CEF I           ;               ;      0.00;    230.47                                                                                                                   
11653;3;PROVENTO                 ;               ;   2534.03;      0.00                                                                                                                   
11653;15;DIF PROVENTO             ;               ;    560.54;      0.00                                                                                                                   
11653;25;ADIC TEMPO SERV          ;               ;    734.86;      0.00                                                                                                                   
11653;60;GRAT REG CLASSE          ;               ;    380.10;      0.00                                                                                                                   
11653;907;IRRF                     ;22.5%          ;      0.00;    344.18                                                                                                                   
11654;3;PROVENTO                 ;               ;    950.00;      0.00                                                                                                                   
11654;25;ADIC TEMPO SERV          ;               ;    256.50;      0.00                                                                                                                   
