Matricula;Item remuneratorio;Descricao;Qte Referencia;Vr Provento;Vr Desconto
10136;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10136;25;ADIC TEMPO SERV          ;               ;     94.25;      0.00                                                                                                                   
10137;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10137;25;ADIC TEMPO SERV          ;               ;     82.50;      0.00                                                                                                                   
10138;3;PROVENTO                 ;               ;    848.68;      0.00                                                                                                                   
10138;25;ADIC TEMPO SERV          ;               ;     84.86;      0.00                                                                                                                   
10138;80;ADIC NIV FORM T          ;               ;    265.79;      0.00                                                                                                                   
10138;101;GRAT EST TRAB S          ;               ;    121.22;      0.00                                                                                                                   
10138;655;DESC EMP CEF I           ;               ;      0.00;    355.00                                                                                                                   
10140;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10140;25;ADIC TEMPO SERV          ;               ;    152.25;      0.00                                                                                                                   
